latitude,longitude,altitude
40.41355989,-79.94841428,238.761
40.41332277,-79.94832470,263.787
40.41356593,-79.94841690,237.607
40.41357494,-79.94841938,236.770
40.41321485,-79.94828848,272.643
40.41319188,-79.94828175,274.742
40.41315387,-79.94826594,277.736
40.41311103,-79.94825246,281.421
40.41360341,-79.94842763,232.882
40.41294404,-79.94820207,295.652
40.41290157,-79.94814570,300.417
40.41286745,-79.94803351,306.285
40.41285241,-79.94798320,308.689
40.41367612,-79.94845013,223.942
40.41281713,-79.94786417,313.429
40.41279810,-79.94781070,315.212
40.41278637,-79.94777728,316.326
40.41276205,-79.94770911,318.648
40.41270408,-79.94752838,327.190
40.41268559,-79.94747481,329.917
40.41267245,-79.94743565,331.668
40.41264629,-79.94735611,335.337
40.41375242,-79.94846947,214.353
40.41259333,-79.94719428,344.350
40.41254860,-79.94710212,351.658
40.41251330,-79.94705034,357.573
40.41249128,-79.94702068,360.797
40.41245057,-79.94696080,366.908
40.41250423,-79.94703839,358.944
40.41254539,-79.94709596,352.202
40.41259635,-79.94720170,343.823
40.41268090,-79.94745962,330.810
40.41271355,-79.94755812,325.846
40.41389016,-79.94854781,198.573
40.41274619,-79.94765287,321.149
40.41277081,-79.94773432,317.968
